MiniDOT Logger Concatenated Data File
Sensor:             7450-249209
Concatenation Date: 2023Aug21 15:10:02 EDT

DO concentration compensated for salinity: 22.6 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1692181260,           2023-08-16 10:21:00,           2023-08-16 06:21:00,      3.540000,     21.465000,          7.741389,                    99.975487,      0.956000
                1692181560,           2023-08-16 10:26:00,           2023-08-16 06:26:00,      3.540000,     21.423000,          7.747206,                    99.973133,      0.956000
                1692181860,           2023-08-16 10:31:00,           2023-08-16 06:31:00,      3.540000,     21.390000,          7.745203,                    99.886429,      0.956000
                1692182160,           2023-08-16 10:36:00,           2023-08-16 06:36:00,      3.540000,     21.340000,          7.757970,                    99.958732,      0.955000
                1692182460,           2023-08-16 10:41:00,           2023-08-16 06:41:00,      3.540000,     21.340000,          7.757093,                    99.947440,      0.954000
                1692182760,           2023-08-16 10:46:00,           2023-08-16 06:46:00,      3.540000,     21.382000,          7.751277,                    99.950005,      0.956000
                1692183060,           2023-08-16 10:51:00,           2023-08-16 06:51:00,      3.540000,     21.432000,          7.747274,                    99.990616,      0.958000
                1692183360,           2023-08-16 10:56:00,           2023-08-16 06:56:00,      3.540000,     21.540000,          7.745463,                   100.166448,      0.956000
                1692183660,           2023-08-16 11:01:00,           2023-08-16 07:01:00,      3.540000,     21.607000,          7.738956,                   100.205821,      0.956000
                1692183960,           2023-08-16 11:06:00,           2023-08-16 07:06:00,      3.530000,     21.716000,          7.724873,                   100.224114,      0.955000
                1692184260,           2023-08-16 11:11:00,           2023-08-16 07:11:00,      3.530000,     21.791000,          7.716669,                   100.255615,      0.955000
                1692184560,           2023-08-16 11:16:00,           2023-08-16 07:16:00,      3.530000,     21.967000,          7.698693,                   100.345173,      0.957000
                1692184860,           2023-08-16 11:21:00,           2023-08-16 07:21:00,      3.530000,     22.150000,          7.664971,                   100.240304,      0.956000
                1692185160,           2023-08-16 11:26:00,           2023-08-16 07:26:00,      3.540000,     22.334000,          7.645275,                   100.318559,      0.957000
                1692185460,           2023-08-16 11:31:00,           2023-08-16 07:31:00,      3.540000,     22.476000,          7.627893,                   100.349192,      0.957000
                1692185760,           2023-08-16 11:36:00,           2023-08-16 07:36:00,      3.540000,     22.552000,          7.621429,                   100.402554,      0.957000
                1692186060,           2023-08-16 11:41:00,           2023-08-16 07:41:00,      3.530000,     23.120000,          7.538637,                   100.336101,      0.961000
                1692186360,           2023-08-16 11:46:00,           2023-08-16 07:46:00,      3.530000,     23.857000,          7.448979,                   100.458817,      0.962000
                1692186660,           2023-08-16 11:51:00,           2023-08-16 07:51:00,      3.530000,     24.360000,          7.390932,                   100.569060,      0.960000
                1692186960,           2023-08-16 11:56:00,           2023-08-16 07:56:00,      3.530000,     24.721000,          7.339756,                   100.510172,      0.960000
                1692187260,           2023-08-16 12:01:00,           2023-08-16 08:01:00,      3.530000,     26.499000,          2.839162,                    40.098561,      0.958000
                1692187560,           2023-08-16 12:06:00,           2023-08-16 08:06:00,      3.530000,     26.956000,          2.825329,                    40.216393,      0.957000
                1692187860,           2023-08-16 12:11:00,           2023-08-16 08:11:00,      3.530000,     27.024000,          2.699509,                    38.470012,      0.958000
