MiniDOT Logger Concatenated Data File
Sensor:             7450-137738
Concatenation Date: 2023Oct26 17:52:13 EDT

DO concentration compensated for salinity: 24.38 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1697019480,           2023-10-11 10:18:00,           2023-10-11 06:18:00,      3.530000,     20.529000,          7.671847,                    98.395198,      0.907000
                1697019780,           2023-10-11 10:23:00,           2023-10-11 06:23:00,      3.530000,     20.555000,          7.689394,                    98.668009,      0.907000
                1697020080,           2023-10-11 10:28:00,           2023-10-11 06:28:00,      3.530000,     20.504000,          7.708036,                    98.813304,      0.908000
                1697020380,           2023-10-11 10:33:00,           2023-10-11 06:33:00,      3.530000,     20.463000,          7.709430,                    98.755653,      0.907000
                1697020680,           2023-10-11 10:38:00,           2023-10-11 06:38:00,      3.530000,     20.404000,          7.719337,                    98.773786,      0.907000
                1697020980,           2023-10-11 10:43:00,           2023-10-11 06:43:00,      3.540000,     20.236000,          7.747393,                    98.821994,      0.907000
                1697021280,           2023-10-11 10:48:00,           2023-10-11 06:48:00,      3.530000,     19.985000,          7.785125,                    98.837017,      0.907000
                1697021580,           2023-10-11 10:53:00,           2023-10-11 06:53:00,      3.530000,     19.750000,          7.821231,                    98.857154,      0.907000
                1697021880,           2023-10-11 10:58:00,           2023-10-11 06:58:00,      3.530000,     19.524000,          7.850461,                    98.803867,      0.907000
                1697022180,           2023-10-11 11:03:00,           2023-10-11 07:03:00,      3.540000,     19.297000,          7.888312,                    98.853898,      0.907000
                1697022480,           2023-10-11 11:08:00,           2023-10-11 07:08:00,      3.540000,     19.129000,          7.907617,                    98.779693,      0.907000
                1697022780,           2023-10-11 11:13:00,           2023-10-11 07:13:00,      3.530000,     18.903000,          7.949756,                    98.878807,      0.908000
                1697023080,           2023-10-11 11:18:00,           2023-10-11 07:18:00,      3.530000,     18.583000,          7.983243,                    98.688300,      0.907000
                1697023380,           2023-10-11 11:23:00,           2023-10-11 07:23:00,      3.540000,     18.221000,          8.037054,                    98.662914,      0.908000
                1697023680,           2023-10-11 11:28:00,           2023-10-11 07:28:00,      3.530000,     17.706000,          8.108397,                    98.548879,      0.908000
                1697023980,           2023-10-11 11:33:00,           2023-10-11 07:33:00,      3.540000,     17.232000,          8.182581,                    98.532547,      0.908000
                1697024280,           2023-10-11 11:38:00,           2023-10-11 07:38:00,      3.540000,     16.817000,          8.250300,                    98.538790,      0.909000
                1697024580,           2023-10-11 11:43:00,           2023-10-11 07:43:00,      3.540000,     16.281000,          8.337445,                    98.525019,      0.908000
                1697024880,           2023-10-11 11:48:00,           2023-10-11 07:48:00,      3.540000,     15.785000,          8.416199,                    98.472214,      0.908000
                1697025180,           2023-10-11 11:53:00,           2023-10-11 07:53:00,      3.540000,     15.408000,          8.496014,                    98.652556,      0.908000
                1697025480,           2023-10-11 11:58:00,           2023-10-11 07:58:00,      3.540000,     15.305000,          8.508756,                    98.594498,      0.908000
                1697025780,           2023-10-11 12:03:00,           2023-10-11 08:03:00,      3.540000,     15.279000,          8.493848,                    98.369850,      0.908000
                1697026080,           2023-10-11 12:08:00,           2023-10-11 08:08:00,      3.540000,     15.262000,          8.479032,                    98.164382,      0.907000
                1697026380,           2023-10-11 12:13:00,           2023-10-11 08:13:00,      3.540000,     15.219000,          8.504438,                    98.372593,      0.908000
                1697026680,           2023-10-11 12:18:00,           2023-10-11 08:18:00,      3.540000,     15.142000,          8.546721,                    98.707085,      0.908000
                1697026980,           2023-10-11 12:23:00,           2023-10-11 08:23:00,      3.540000,     15.090000,          8.565999,                    98.825099,      0.909000
                1697027280,           2023-10-11 12:28:00,           2023-10-11 08:28:00,      3.540000,     15.262000,          8.521242,                    98.653060,      0.908000
                1697027580,           2023-10-11 12:33:00,           2023-10-11 08:33:00,      3.540000,     15.219000,          8.551814,                    98.920602,      0.909000
                1697027880,           2023-10-11 12:38:00,           2023-10-11 08:38:00,      3.540000,     15.150000,          8.566613,                    98.952917,      0.909000
                1697028180,           2023-10-11 12:43:00,           2023-10-11 08:43:00,      3.540000,     15.056000,          8.587180,                    99.000905,      0.908000
                1697028480,           2023-10-11 12:48:00,           2023-10-11 08:48:00,      3.540000,     15.125000,          8.565496,                    98.889712,      0.908000
                1697028780,           2023-10-11 12:53:00,           2023-10-11 08:53:00,      3.530000,     15.365000,          8.524872,                    98.901462,      0.908000
                1697029080,           2023-10-11 12:58:00,           2023-10-11 08:58:00,      3.540000,     15.802000,          8.450847,                    98.911426,      0.908000
                1697029380,           2023-10-11 13:03:00,           2023-10-11 09:03:00,      3.540000,     16.127000,          8.399753,                    98.956402,      0.908000
                1697029680,           2023-10-11 13:08:00,           2023-10-11 09:08:00,      3.530000,     16.553000,          8.326285,                    98.927362,      0.907000
                1697029980,           2023-10-11 13:13:00,           2023-10-11 09:13:00,      3.540000,     17.029000,          8.248866,                    98.934838,      0.907000
                1697030280,           2023-10-11 13:18:00,           2023-10-11 09:18:00,      3.530000,     17.351000,          8.208739,                    99.078602,      0.907000
                1697030580,           2023-10-11 13:23:00,           2023-10-11 09:23:00,      3.530000,     17.520000,          8.174913,                    98.997266,      0.907000
                1697030880,           2023-10-11 13:28:00,           2023-10-11 09:28:00,      3.530000,     17.622000,          8.168953,                    99.122358,      0.907000
                1697031180,           2023-10-11 13:33:00,           2023-10-11 09:33:00,      3.530000,     17.782000,          8.141064,                    99.092464,      0.907000
                1697031480,           2023-10-11 13:38:00,           2023-10-11 09:38:00,      3.530000,     17.909000,          8.113721,                    99.003816,      0.907000
                1697031780,           2023-10-11 13:43:00,           2023-10-11 09:43:00,      3.540000,     18.061000,          8.091780,                    99.027669,      0.907000
                1697032080,           2023-10-11 13:48:00,           2023-10-11 09:48:00,      3.530000,     18.314000,          8.050861,                    99.010059,      0.907000
                1697032380,           2023-10-11 13:53:00,           2023-10-11 09:53:00,      3.530000,     18.566000,          8.028921,                    99.220559,      0.907000
                1697032680,           2023-10-11 13:58:00,           2023-10-11 09:58:00,      3.530000,     18.844000,          7.992484,                    99.298170,      0.907000
                1697032980,           2023-10-11 14:03:00,           2023-10-11 10:03:00,      3.530000,     19.155000,          7.942455,                    99.264015,      0.907000
                1697033280,           2023-10-11 14:08:00,           2023-10-11 10:08:00,      3.530000,     19.465000,          7.903619,                    99.361840,      0.907000
                1697033580,           2023-10-11 14:13:00,           2023-10-11 10:13:00,      3.530000,     19.767000,          7.868999,                    99.492805,      0.907000
                1697033880,           2023-10-11 14:18:00,           2023-10-11 10:18:00,      3.530000,     20.102000,          7.813831,                    99.419564,      0.907000
                1697034180,           2023-10-11 14:23:00,           2023-10-11 10:23:00,      3.530000,     20.546000,          7.753447,                    99.473255,      0.906000
                1697034480,           2023-10-11 14:28:00,           2023-10-11 10:28:00,      3.530000,     20.990000,          7.712913,                    99.772028,      0.907000
                1697034780,           2023-10-11 14:33:00,           2023-10-11 10:33:00,      3.530000,     21.450000,          7.635136,                    99.606877,      0.906000
                1697035080,           2023-10-11 14:38:00,           2023-10-11 10:38:00,      3.530000,     21.634000,          7.598442,                    99.463264,      0.906000
                1697035380,           2023-10-11 14:43:00,           2023-10-11 10:43:00,      3.530000,     21.826000,          7.567866,                    99.411485,      0.906000
                1697035680,           2023-10-11 14:48:00,           2023-10-11 10:48:00,      3.530000,     22.144000,          7.532184,                    99.517662,      0.907000
                1697035980,           2023-10-11 14:53:00,           2023-10-11 10:53:00,      3.530000,     22.638000,          7.453531,                    99.363356,      0.906000
                1697036280,           2023-10-11 14:58:00,           2023-10-11 10:58:00,      3.530000,     23.224000,          7.389355,                    99.550285,      0.907000
                1697036580,           2023-10-11 15:03:00,           2023-10-11 11:03:00,      3.530000,     23.626000,          7.340208,                    99.599692,      0.906000
                1697036880,           2023-10-11 15:08:00,           2023-10-11 11:08:00,      3.520000,     24.028000,          7.292735,                    99.663407,      0.907000
                1697037180,           2023-10-11 15:13:00,           2023-10-11 11:13:00,      3.520000,     24.263000,          7.269222,                    99.754993,      0.907000
                1697037480,           2023-10-11 15:18:00,           2023-10-11 11:18:00,      3.530000,     24.725000,          7.216858,                    99.843317,      0.907000
                1697037780,           2023-10-11 15:23:00,           2023-10-11 11:23:00,      3.520000,     25.651000,          7.090129,                    99.682873,      0.906000
                1697038080,           2023-10-11 15:28:00,           2023-10-11 11:28:00,      3.520000,     26.995000,          6.953604,                   100.040334,      0.907000
                1697038380,           2023-10-11 15:33:00,           2023-10-11 11:33:00,      3.520000,     28.169000,          6.811051,                    99.947437,      0.907000
                1697038680,           2023-10-11 15:38:00,           2023-10-11 11:38:00,      3.520000,     28.203000,          6.831350,                   100.302324,      0.907000
                1697038980,           2023-10-11 15:43:00,           2023-10-11 11:43:00,      3.520000,     27.896000,          6.866945,                   100.307726,      0.906000
                1697039280,           2023-10-11 15:48:00,           2023-10-11 11:48:00,      3.520000,     28.271000,          6.823046,                   100.294325,      0.906000
                1697039580,           2023-10-11 15:53:00,           2023-10-11 11:53:00,      3.520000,     29.050000,          6.731785,                   100.242940,      0.907000
                1697039880,           2023-10-11 15:58:00,           2023-10-11 11:58:00,      3.520000,     29.196000,          5.106101,                    76.218691,      0.897000
                1697040180,           2023-10-11 16:03:00,           2023-10-11 12:03:00,      3.530000,     21.525000,          4.000045,                    52.255900,      0.905000
                1697040480,           2023-10-11 16:08:00,           2023-10-11 12:08:00,      3.530000,     20.613000,          2.097317,                    26.941212,      0.845000
                1697040780,           2023-10-11 16:13:00,           2023-10-11 12:13:00,      3.530000,     20.345000,          0.765906,                     9.789464,      0.856000
                1697041080,           2023-10-11 16:18:00,           2023-10-11 12:18:00,      3.530000,     20.262000,          7.041549,                    89.862304,      0.908000
                1697041380,           2023-10-11 16:23:00,           2023-10-11 12:23:00,      3.530000,     21.634000,          7.458758,                    97.634812,      0.909000
                1697041680,           2023-10-11 16:28:00,           2023-10-11 12:28:00,      3.530000,     22.286000,          7.380494,                    97.765211,      0.909000
                1697041980,           2023-10-11 16:33:00,           2023-10-11 12:33:00,      3.530000,     22.613000,          7.303960,                    97.325495,      0.909000
                1697042280,           2023-10-11 16:38:00,           2023-10-11 12:38:00,      3.520000,     23.098000,          7.244165,                    97.374360,      0.909000
                1697042580,           2023-10-11 16:43:00,           2023-10-11 12:43:00,      3.530000,     23.651000,          7.162165,                    97.227027,      0.908000
                1697042880,           2023-10-11 16:48:00,           2023-10-11 12:48:00,      3.520000,     24.280000,          7.053596,                    96.824977,      0.908000
                1697043180,           2023-10-11 16:53:00,           2023-10-11 12:53:00,      3.530000,     24.540000,          7.044980,                    97.149857,      0.909000
                1697043480,           2023-10-11 16:58:00,           2023-10-11 12:58:00,      3.520000,     24.154000,          7.092721,                    97.145973,      0.908000
                1697043780,           2023-10-11 17:03:00,           2023-10-11 13:03:00,      3.530000,     21.818000,          5.896482,                    77.444868,      0.906000
                1697044080,           2023-10-11 17:08:00,           2023-10-11 13:08:00,      3.530000,     20.588000,          3.485612,                    44.753824,      0.907000
                1697044380,           2023-10-11 17:13:00,           2023-10-11 13:13:00,      3.530000,     20.429000,          0.085782,                     1.098151,      0.896000
                1697044680,           2023-10-11 17:18:00,           2023-10-11 13:18:00,      3.530000,     20.379000,          0.068449,                     0.875438,      0.895000
                1697044980,           2023-10-11 17:23:00,           2023-10-11 13:23:00,      3.530000,     20.370000,          0.067582,                     0.864203,      0.896000
                1697045280,           2023-10-11 17:28:00,           2023-10-11 13:28:00,      3.530000,     20.362000,          0.067581,                     0.864066,      0.896000
                1697045580,           2023-10-11 17:33:00,           2023-10-11 13:33:00,      3.530000,     20.337000,          0.067579,                     0.863640,      0.896000
                1697045880,           2023-10-11 17:38:00,           2023-10-11 13:38:00,      3.530000,     20.329000,          0.067579,                     0.863503,      0.896000
                1697046180,           2023-10-11 17:43:00,           2023-10-11 13:43:00,      3.530000,     20.329000,          0.067579,                     0.863503,      0.896000
                1697046480,           2023-10-11 17:48:00,           2023-10-11 13:48:00,      3.530000,     20.295000,          0.067576,                     0.862923,      0.896000
                1697046780,           2023-10-11 17:53:00,           2023-10-11 13:53:00,      3.530000,     20.278000,          0.067575,                     0.862633,      0.895000
                1697047080,           2023-10-11 17:58:00,           2023-10-11 13:58:00,      3.530000,     20.270000,          0.067575,                     0.862496,      0.896000
                1697047380,           2023-10-11 18:03:00,           2023-10-11 14:03:00,      3.530000,     20.245000,          0.066706,                     0.851017,      0.896000
                1697047680,           2023-10-11 18:08:00,           2023-10-11 14:08:00,      3.530000,     20.195000,          0.068435,                     0.872258,      0.896000
                1697047980,           2023-10-11 18:13:00,           2023-10-11 14:13:00,      3.530000,     20.186000,          0.067568,                     0.861063,      0.896000
                1697048280,           2023-10-11 18:18:00,           2023-10-11 14:18:00,      3.530000,     20.136000,          0.067565,                     0.860210,      0.896000
                1697048580,           2023-10-11 18:23:00,           2023-10-11 14:23:00,      3.530000,     20.102000,          0.067562,                     0.859630,      0.896000
                1697048880,           2023-10-11 18:28:00,           2023-10-11 14:28:00,      3.530000,     20.052000,          0.068425,                     0.869788,      0.896000
                1697049180,           2023-10-11 18:33:00,           2023-10-11 14:33:00,      3.530000,     20.035000,          0.067557,                     0.858488,      0.896000
                1697049480,           2023-10-11 18:38:00,           2023-10-11 14:38:00,      3.530000,     20.035000,          0.067557,                     0.858488,      0.896000
                1697049780,           2023-10-11 18:43:00,           2023-10-11 14:43:00,      3.530000,     20.002000,          0.068421,                     0.868925,      0.896000
                1697050080,           2023-10-11 18:48:00,           2023-10-11 14:48:00,      3.530000,     20.010000,          0.068422,                     0.869063,      0.896000
                1697050380,           2023-10-11 18:53:00,           2023-10-11 14:53:00,      3.530000,     19.993000,          0.068420,                     0.868769,      0.896000
                1697050680,           2023-10-11 18:58:00,           2023-10-11 14:58:00,      3.530000,     19.977000,          0.068419,                     0.868493,      0.896000
                1697050980,           2023-10-11 19:03:00,           2023-10-11 15:03:00,      3.530000,     19.977000,          0.068419,                     0.868493,      0.896000
                1697051280,           2023-10-11 19:08:00,           2023-10-11 15:08:00,      3.530000,     19.985000,          0.068420,                     0.868631,      0.896000
                1697051580,           2023-10-11 19:13:00,           2023-10-11 15:13:00,      3.530000,     19.968000,          0.069285,                     0.879329,      0.896000
                1697051880,           2023-10-11 19:18:00,           2023-10-11 15:18:00,      3.530000,     19.977000,          0.069285,                     0.879487,      0.896000
                1697052180,           2023-10-11 19:23:00,           2023-10-11 15:23:00,      3.530000,     20.002000,          0.069287,                     0.879924,      0.896000
                1697052480,           2023-10-11 19:28:00,           2023-10-11 15:28:00,      3.530000,     19.985000,          0.069286,                     0.879626,      0.896000
                1697052780,           2023-10-11 19:33:00,           2023-10-11 15:33:00,      3.530000,     19.977000,          0.069285,                     0.879487,      0.896000
                1697053080,           2023-10-11 19:38:00,           2023-10-11 15:38:00,      3.530000,     19.993000,          0.070152,                     0.890763,      0.897000
                1697053380,           2023-10-11 19:43:00,           2023-10-11 15:43:00,      3.530000,     20.002000,          0.070153,                     0.890923,      0.897000
                1697053680,           2023-10-11 19:48:00,           2023-10-11 15:48:00,      3.530000,     20.002000,          0.070153,                     0.890923,      0.897000
                1697053980,           2023-10-11 19:53:00,           2023-10-11 15:53:00,      3.530000,     20.010000,          0.070154,                     0.891064,      0.897000
                1697054280,           2023-10-11 19:58:00,           2023-10-11 15:58:00,      3.530000,     20.044000,          0.071022,                     0.902674,      0.897000
                1697054580,           2023-10-11 20:03:00,           2023-10-11 16:03:00,      3.530000,     20.019000,          0.071021,                     0.902226,      0.897000
                1697054880,           2023-10-11 20:08:00,           2023-10-11 16:08:00,      3.530000,     20.044000,          0.070156,                     0.891666,      0.897000
                1697055180,           2023-10-11 20:13:00,           2023-10-11 16:13:00,      3.530000,     20.052000,          0.071023,                     0.902818,      0.897000
                1697055480,           2023-10-11 20:18:00,           2023-10-11 16:18:00,      3.530000,     20.061000,          0.071024,                     0.902979,      0.897000
                1697055780,           2023-10-11 20:23:00,           2023-10-11 16:23:00,      3.530000,     20.094000,          0.070160,                     0.892551,      0.897000
                1697056080,           2023-10-11 20:28:00,           2023-10-11 16:28:00,      3.530000,     20.102000,          0.071027,                     0.903714,      0.897000
                1697056380,           2023-10-11 20:33:00,           2023-10-11 16:33:00,      3.530000,     20.228000,          0.498989,                     6.363911,      0.860000
                1697056680,           2023-10-11 20:38:00,           2023-10-11 16:38:00,      3.530000,     20.086000,          7.610146,                    96.798919,      0.911000
                1697056980,           2023-10-11 20:43:00,           2023-10-11 16:43:00,      3.530000,     20.019000,          7.649434,                    97.176375,      0.911000
                1697057280,           2023-10-11 20:48:00,           2023-10-11 16:48:00,      3.530000,     19.784000,          7.668260,                    96.985808,      0.910000
                1697057580,           2023-10-11 20:53:00,           2023-10-11 16:53:00,      3.530000,     19.507000,          7.697099,                    96.842536,      0.909000
                1697057880,           2023-10-11 20:58:00,           2023-10-11 16:58:00,      3.530000,     19.381000,          7.699497,                    96.641680,      0.909000
                1697058180,           2023-10-11 21:03:00,           2023-10-11 17:03:00,      3.530000,     19.213000,          7.731821,                    96.738225,      0.909000
                1697058480,           2023-10-11 21:08:00,           2023-10-11 17:08:00,      3.530000,     19.020000,          7.744014,                    96.535240,      0.909000
                1697058780,           2023-10-11 21:13:00,           2023-10-11 17:13:00,      3.530000,     18.861000,          7.772059,                    96.591027,      0.909000
                1697059080,           2023-10-11 21:18:00,           2023-10-11 17:18:00,      3.530000,     18.734000,          7.789124,                    96.568016,      0.909000
                1697059380,           2023-10-11 21:23:00,           2023-10-11 17:23:00,      3.530000,     18.558000,          7.824778,                    96.682906,      0.909000
                1697059680,           2023-10-11 21:28:00,           2023-10-11 17:28:00,      3.530000,     18.533000,          7.795160,                    96.270668,      0.909000
                1697059980,           2023-10-11 21:33:00,           2023-10-11 17:33:00,      3.530000,     18.591000,          7.782694,                    96.223911,      0.909000
                1697060280,           2023-10-11 21:38:00,           2023-10-11 17:38:00,      3.530000,     18.474000,          7.791187,                    96.112456,      0.908000
                1697060580,           2023-10-11 21:43:00,           2023-10-11 17:43:00,      3.530000,     18.339000,          7.808163,                    96.071659,      0.908000
                1697060880,           2023-10-11 21:48:00,           2023-10-11 17:48:00,      3.530000,     18.314000,          7.815724,                    96.118323,      0.909000
                1697061180,           2023-10-11 21:53:00,           2023-10-11 17:53:00,      3.530000,     18.263000,          7.821327,                    96.092583,      0.909000
                1697061480,           2023-10-11 21:58:00,           2023-10-11 17:58:00,      3.530000,     18.221000,          7.826144,                    96.073782,      0.909000
                1697061780,           2023-10-11 22:03:00,           2023-10-11 18:03:00,      3.530000,     18.145000,          7.813374,                    95.776163,      0.908000
                1697062080,           2023-10-11 22:08:00,           2023-10-11 18:08:00,      3.530000,     18.069000,          7.805791,                    95.542521,      0.908000
                1697062380,           2023-10-11 22:13:00,           2023-10-11 18:13:00,      3.530000,     17.900000,          7.814669,                    95.338112,      0.907000
                1697062680,           2023-10-11 22:18:00,           2023-10-11 18:18:00,      3.530000,     17.740000,          7.866814,                    95.676049,      0.908000
                1697062980,           2023-10-11 22:23:00,           2023-10-11 18:23:00,      3.530000,     17.638000,          7.883178,                    95.684632,      0.909000
                1697063280,           2023-10-11 22:28:00,           2023-10-11 18:28:00,      3.530000,     17.622000,          7.865759,                    95.443395,      0.908000
                1697063580,           2023-10-11 22:33:00,           2023-10-11 18:33:00,      3.530000,     17.512000,          7.903639,                    95.697206,      0.908000
                1697063880,           2023-10-11 22:38:00,           2023-10-11 18:38:00,      3.530000,     17.385000,          7.900766,                    95.424949,      0.908000
                1697064180,           2023-10-11 22:43:00,           2023-10-11 18:43:00,      3.530000,     17.258000,          7.919476,                    95.412999,      0.908000
                1697064480,           2023-10-11 22:48:00,           2023-10-11 18:48:00,      3.530000,     17.173000,          7.941151,                    95.514507,      0.909000
                1697064780,           2023-10-11 22:53:00,           2023-10-11 18:53:00,      3.530000,     17.148000,          7.950420,                    95.578992,      0.909000
                1697065080,           2023-10-11 22:58:00,           2023-10-11 18:58:00,      3.530000,     17.139000,          7.957244,                    95.644102,      0.909000
                1697065380,           2023-10-11 23:03:00,           2023-10-11 19:03:00,      3.530000,     17.224000,          7.938162,                    95.574295,      0.908000
                1697065680,           2023-10-11 23:08:00,           2023-10-11 19:08:00,      3.530000,     17.359000,          7.917802,                    95.581999,      0.908000
                1697065980,           2023-10-11 23:13:00,           2023-10-11 19:13:00,      3.530000,     17.469000,          7.891160,                    95.465797,      0.908000
                1697066280,           2023-10-11 23:18:00,           2023-10-11 19:18:00,      3.530000,     17.495000,          7.885349,                    95.444015,      0.908000
                1697066580,           2023-10-11 23:23:00,           2023-10-11 19:23:00,      3.530000,     17.520000,          7.885574,                    95.493401,      0.908000
                1697066880,           2023-10-11 23:28:00,           2023-10-11 19:28:00,      3.530000,     17.622000,          7.857985,                    95.349063,      0.908000
                1697067180,           2023-10-11 23:33:00,           2023-10-11 19:33:00,      3.520000,     17.765000,          7.840255,                    95.399472,      0.908000
                1697067480,           2023-10-11 23:38:00,           2023-10-11 19:38:00,      3.530000,     17.951000,          7.809935,                    95.374765,      0.907000
                1697067780,           2023-10-11 23:43:00,           2023-10-11 19:43:00,      3.530000,     18.170000,          7.783342,                    95.454187,      0.908000
                1697068080,           2023-10-11 23:48:00,           2023-10-11 19:48:00,      3.530000,     18.432000,          7.728570,                    95.262950,      0.907000
                1697068380,           2023-10-11 23:53:00,           2023-10-11 19:53:00,      3.520000,     18.676000,          7.696084,                    95.308476,      0.907000
                1697068680,           2023-10-11 23:58:00,           2023-10-11 19:58:00,      3.520000,     18.928000,          7.662773,                    95.354877,      0.908000
                1697068980,           2023-10-12 00:03:00,           2023-10-11 20:03:00,      3.530000,     19.113000,          7.634925,                    95.344241,      0.908000
                1697069280,           2023-10-12 00:08:00,           2023-10-11 20:08:00,      3.530000,     19.264000,          7.613697,                    95.352704,      0.908000
                1697069580,           2023-10-12 00:13:00,           2023-10-11 20:13:00,      3.530000,     19.398000,          7.587989,                    95.272781,      0.907000
                1697069880,           2023-10-12 00:18:00,           2023-10-11 20:18:00,      3.530000,     19.482000,          7.573974,                    95.248309,      0.907000
                1697070180,           2023-10-12 00:23:00,           2023-10-11 20:23:00,      3.520000,     19.566000,          7.570343,                    95.354112,      0.908000
                1697070480,           2023-10-12 00:28:00,           2023-10-11 20:28:00,      3.520000,     19.650000,          7.537274,                    95.088432,      0.906000
                1697070780,           2023-10-12 00:33:00,           2023-10-11 20:33:00,      3.520000,     19.675000,          7.537480,                    95.135934,      0.907000
                1697071080,           2023-10-12 00:38:00,           2023-10-11 20:38:00,      3.520000,     19.717000,          7.543887,                    95.292304,      0.908000
                1697071380,           2023-10-12 00:43:00,           2023-10-11 20:43:00,      3.520000,     19.742000,          7.535434,                    95.230433,      0.908000
                1697071680,           2023-10-12 00:48:00,           2023-10-11 20:48:00,      3.520000,     19.784000,          7.537511,                    95.332143,      0.908000
                1697071980,           2023-10-12 00:53:00,           2023-10-11 20:53:00,      3.520000,     19.801000,          7.521199,                    95.156309,      0.907000
                1697072280,           2023-10-12 00:58:00,           2023-10-11 20:58:00,      3.520000,     19.792000,          7.527186,                    95.215911,      0.908000
                1697072580,           2023-10-12 01:03:00,           2023-10-11 21:03:00,      3.520000,     19.817000,          7.515269,                    95.109947,      0.907000
                1697072880,           2023-10-12 01:08:00,           2023-10-11 21:08:00,      3.520000,     19.792000,          7.510734,                    95.007801,      0.907000
                1697073180,           2023-10-12 01:13:00,           2023-10-11 21:13:00,      3.520000,     19.792000,          7.505539,                    94.942082,      0.907000
                1697073480,           2023-10-12 01:18:00,           2023-10-11 21:18:00,      3.520000,     19.784000,          7.511535,                    95.003600,      0.907000
                1697073780,           2023-10-12 01:23:00,           2023-10-11 21:23:00,      3.520000,     19.776000,          7.515799,                    95.043195,      0.908000
                1697074080,           2023-10-12 01:28:00,           2023-10-11 21:28:00,      3.520000,     19.742000,          7.516386,                    94.989704,      0.907000
                1697074380,           2023-10-12 01:33:00,           2023-10-11 21:33:00,      3.520000,     19.717000,          7.513583,                    94.909516,      0.907000
                1697074680,           2023-10-12 01:38:00,           2023-10-11 21:38:00,      3.520000,     19.717000,          7.517046,                    94.953263,      0.908000
                1697074980,           2023-10-12 01:43:00,           2023-10-11 21:43:00,      3.520000,     19.658000,          7.527817,                    94.983469,      0.908000
                1697075280,           2023-10-12 01:48:00,           2023-10-11 21:48:00,      3.520000,     19.658000,          7.519159,                    94.874230,      0.908000
                1697075580,           2023-10-12 01:53:00,           2023-10-11 21:53:00,      3.520000,     19.616000,          7.526605,                    94.892861,      0.908000
                1697075880,           2023-10-12 01:58:00,           2023-10-11 21:58:00,      3.520000,     19.574000,          7.531453,                    94.878624,      0.908000
                1697076180,           2023-10-12 02:03:00,           2023-10-11 22:03:00,      3.520000,     19.558000,          7.520933,                    94.717430,      0.907000
                1697076480,           2023-10-12 02:08:00,           2023-10-11 22:08:00,      3.520000,     19.507000,          7.532631,                    94.773251,      0.908000
                1697076780,           2023-10-12 02:13:00,           2023-10-11 22:13:00,      3.520000,     19.490000,          7.527297,                    94.675663,      0.907000
                1697077080,           2023-10-12 02:18:00,           2023-10-11 22:18:00,      3.520000,     19.465000,          7.531419,                    94.682660,      0.908000
                1697077380,           2023-10-12 02:23:00,           2023-10-11 22:23:00,      3.520000,     19.415000,          7.541392,                    94.718246,      0.908000
                1697077680,           2023-10-12 02:28:00,           2023-10-11 22:28:00,      3.530000,     19.390000,          7.542916,                    94.692487,      0.908000
                1697077980,           2023-10-12 02:33:00,           2023-10-11 22:33:00,      3.530000,     19.348000,          7.536509,                    94.536700,      0.907000
                1697078280,           2023-10-12 02:38:00,           2023-10-11 22:38:00,      3.530000,     19.306000,          7.542219,                    94.532916,      0.907000
                1697078580,           2023-10-12 02:43:00,           2023-10-11 22:43:00,      3.530000,     19.255000,          7.550449,                    94.544420,      0.908000
                1697078880,           2023-10-12 02:48:00,           2023-10-11 22:48:00,      3.530000,     19.222000,          7.552770,                    94.514173,      0.908000
                1697079180,           2023-10-12 02:53:00,           2023-10-11 22:53:00,      3.530000,     19.180000,          7.555016,                    94.466775,      0.908000
                1697079480,           2023-10-12 02:58:00,           2023-10-11 22:58:00,      3.530000,     19.138000,          7.552070,                    94.354471,      0.907000
                1697079780,           2023-10-12 03:03:00,           2023-10-11 23:03:00,      3.530000,     19.087000,          7.563757,                    94.408727,      0.907000
                1697080080,           2023-10-12 03:08:00,           2023-10-11 23:08:00,      3.530000,     19.045000,          7.563406,                    94.328784,      0.907000
                1697080380,           2023-10-12 03:13:00,           2023-10-11 23:13:00,      3.520000,     18.987000,          7.572437,                    94.336963,      0.907000
                1697080680,           2023-10-12 03:18:00,           2023-10-11 23:18:00,      3.520000,     18.945000,          7.582465,                    94.386174,      0.908000
                1697080980,           2023-10-12 03:23:00,           2023-10-11 23:23:00,      3.520000,     18.894000,          7.579441,                    94.256629,      0.908000
                1697081280,           2023-10-12 03:28:00,           2023-10-11 23:28:00,      3.520000,     18.869000,          7.584421,                    94.273482,      0.908000
                1697081580,           2023-10-12 03:33:00,           2023-10-11 23:33:00,      3.520000,     18.819000,          7.587459,                    94.221078,      0.908000
                1697081880,           2023-10-12 03:38:00,           2023-10-11 23:38:00,      3.520000,     18.777000,          7.595754,                    94.248266,      0.908000
                1697082180,           2023-10-12 03:43:00,           2023-10-11 23:43:00,      3.520000,     18.726000,          7.586674,                    94.043662,      0.907000
                1697082480,           2023-10-12 03:48:00,           2023-10-11 23:48:00,      3.520000,     18.667000,          7.607796,                    94.198843,      0.908000
